epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.955,1.2775,4.36382,1.58036,0.1737,0.13775,0.07301,0.04672,1.28074,3.35624,1.52559,4.96462e-05,4.96462e-05,4.96462e-05
2,760.602,1.22952,3.64973,1.54162,0.22039,0.22074,0.13959,0.0953,1.19632,2.95351,1.45937,9.27582e-05,9.27582e-05,9.27582e-05
3,1123.08,1.20426,3.31414,1.51058,0.25907,0.26591,0.19444,0.13338,1.20796,2.77538,1.45778,0.000129314,0.000129314,0.000129314
4,1488.01,1.1892,3.11825,1.49393,0.29166,0.29243,0.22476,0.1561,1.18767,2.63754,1.44361,0.000119498,0.000119498,0.000119498
5,1861.69,1.17187,2.95826,1.48136,0.29259,0.29723,0.23745,0.16724,1.15924,2.57016,1.41605,0.000109664,0.000109664,0.000109664
6,2254.85,1.22938,2.97232,1.56886,0.3524,0.30543,0.2635,0.18751,1.14016,2.50157,1.38408,9.983e-05,9.983e-05,9.983e-05
7,2592.16,1.21012,2.8217,1.55195,0.32793,0.33517,0.27393,0.19674,1.11514,2.44471,1.36329,8.9996e-05,8.9996e-05,8.9996e-05
8,2940.96,1.19878,2.70602,1.53984,0.35638,0.33965,0.29029,0.20998,1.11416,2.40218,1.36983,8.0162e-05,8.0162e-05,8.0162e-05
9,3282.75,1.18243,2.60518,1.52337,0.34485,0.36036,0.29417,0.21299,1.10229,2.37282,1.35514,7.0328e-05,7.0328e-05,7.0328e-05
10,3611.26,1.17483,2.53274,1.51698,0.37294,0.35384,0.30357,0.22091,1.09359,2.34728,1.35065,6.0494e-05,6.0494e-05,6.0494e-05
11,3938.22,1.16397,2.47028,1.50743,0.37337,0.3591,0.31207,0.22769,1.08881,2.33105,1.3447,5.066e-05,5.066e-05,5.066e-05
12,4271.85,1.1526,2.40849,1.4984,0.38492,0.35706,0.31249,0.2277,1.09036,2.33342,1.34415,4.0826e-05,4.0826e-05,4.0826e-05
13,4608.19,1.14423,2.35068,1.48897,0.3745,0.36902,0.31513,0.2303,1.08787,2.32447,1.34118,3.0992e-05,3.0992e-05,3.0992e-05
14,4946.01,1.13444,2.30775,1.47878,0.37778,0.37147,0.31847,0.23377,1.0844,2.3148,1.33593,2.1158e-05,2.1158e-05,2.1158e-05
15,5281.88,1.12959,2.26144,1.47348,0.37205,0.37825,0.31672,0.23219,1.08092,2.3118,1.33379,1.1324e-05,1.1324e-05,1.1324e-05
